Simulation number, Timestep, price_CORPORATE_BONDS, price_EXTERNAL2, price_MBS, price_EXTERNAL1, price_EXTERNAL3, price_EQUITIES, haircut_CORPORATE_BONDS, haircut_EXTERNAL2, haircut_MBS, haircut_EXTERNAL1, haircut_EXTERNAL3, haircut_EQUITIES, totalAmountSold_CORPORATE_BONDS, totalAmountSold_EXTERNAL2, totalAmountSold_MBS, totalAmountSold_EXTERNAL1, totalAmountSold_EXTERNAL3, totalAmountSold_EQUITIES
1, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1, 0.9929646275365193, 0.84, 0.9929646275365193, 1.0, 1.0, 1.0, 0.11810611739044222, 0.0, 0.11810611739044222, 0.0, 0.0, 0.1, 70.35372463480732, 0.0, 70.35372463480732, 0.0, 0.0, 0.0
1, 2, 0.9871110682301187, 0.84, 0.9873665184729417, 1.0, 1.0, 0.994083431595376, 0.1356667953096438, 0.0, 0.13490044458117503, 0.0, 0.0, 0.11474970521387187, 129.3040552314053, 0.0, 126.73145359244604, 0.0, 0.0, 59.16568404623982
1, 3, 0.978175768114349, 0.84, 0.9795036130849198, 1.0, 1.0, 0.9909989077453781, 0.1624726956569529, 0.0, 0.15848916074524047, 0.0, 0.0, 0.1240032767638656, 219.82375867056015, 0.0, 206.36657632460566, 0.0, 0.0, 90.1945066979529
1, 4, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 5, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 6, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 7, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 8, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 9, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 10, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 11, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 12, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 13, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 14, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
1, 15, NaN, 0.84, NaN, 1.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN
Simulation number, Timestep, price_CORPORATE_BONDS, price_EXTERNAL2, price_MBS, price_EXTERNAL1, price_EXTERNAL3, price_EQUITIES, haircut_CORPORATE_BONDS, haircut_EXTERNAL2, haircut_MBS, haircut_EXTERNAL1, haircut_EXTERNAL3, haircut_EQUITIES, totalAmountSold_CORPORATE_BONDS, totalAmountSold_EXTERNAL2, totalAmountSold_MBS, totalAmountSold_EXTERNAL1, totalAmountSold_EXTERNAL3, totalAmountSold_EQUITIES
2, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 1, 0.9929646275365193, 0.84, 0.9929646275365193, 1.0, 1.0, 1.0, 0.11810611739044222, 0.0, 0.11810611739044222, 0.0, 0.0, 0.1, 70.35372463480732, 0.0, 70.35372463480732, 0.0, 0.0, 0.0
2, 2, 0.9871110682301187, 0.84, 0.9873665184729417, 1.0, 1.0, 0.994083431595376, 0.1356667953096438, 0.0, 0.13490044458117503, 0.0, 0.0, 0.11474970521387187, 129.3040552314053, 0.0, 126.73145359244604, 0.0, 0.0, 59.16568404623982
